,EN/TL,Note
13,"Caption 1:

Say goodbye to unstable hardware and manual errors with logging orders and inventory. 😎

With StoreHub, you have everything you need to run your restaurant from just 1 platform. And with real-time data, you can get visibility on your business performance from anywhere.

Book a free demo for your business today. ✨

Caption 2:
Manage sales, inventory, marketing - all in one place. 😎 With StoreHub, you have everything you need to run your restaurant from just 1 platform. 

No more stress from human errors and inaccurate records!

And with real-time data, you can get visibility on your business performance from anywhere.

Book a free demo for your business today. ✨

Caption 3:
📣 Want your customers to keep coming back to your restaurants? We have the solution for you. 📣

Taking orders, sales reporting, counting inventory… do you still do these manually at your store and run into a ton of issues? 😵

Make your life as a business owner stress-free with StoreHub’s BIR Accredited POS.

You can now say goodbye to wrong orders, manual errors, and inaccurate sales and inventory reports. 💪

See the difference with a StoreHub POS. Sign up for a FREE demo today.",USP Restaurant
14,"Caption 1:
“From our commissary, dispatch, all the way to our stores, we have a macro point of view of all movements everywhere.” ✨

Want to manage 5+ physical stores easily, just like Kurimu? Then use StoreHub as your POS! 🤩

You don’t have to visit every store just to check on your sales and operations. Now you can just monitor every store’s performance from any device, anywhere. 💪

Save time and make operations smoother with StoreHub POS. Sign up for a free demo today! 

Caption 2:
Want to expand to 5+ physical stores easily, just like Kurimu? Then use StoreHub as your POS system! 🤩

You don’t have to visit every store just to check on your sales and operations. Now you can just monitor every store’s performance from any device, anywhere. 💪

Save time on manual processes and make operations smoother with StoreHub POS. Sign up for a free demo today!",Kurimu Testimonial
15,"Caption 1:

Ganito ka rin ba ka-stressed sa restaurant business mo? 😩
It doesn't have to be that way anymore.
Because as a business owner, you should be focusing on expanding your business instead of doing day-to-day tasks manually. 🙅
So if you want to...
🍔 Automatically 𝐭𝐫𝐚𝐜𝐤 𝐚𝐧𝐝 𝐦𝐚𝐧𝐚𝐠𝐞 𝐲𝐨𝐮𝐫 𝐢𝐧𝐯𝐞𝐧𝐭𝐨𝐫𝐲 for multiple stores 
📍 Manage your business 𝐚𝐧𝐲𝐭𝐢𝐦𝐞, 𝐚𝐧𝐲𝐰𝐡𝐞𝐫𝐞 (no more being stuck in traffic 🚗)
💻 Access 𝐫𝐞𝐚𝐥-𝐭𝐢𝐦𝐞 𝐬𝐚𝐥𝐞𝐬 𝐫𝐞𝐩𝐨𝐫𝐭𝐬
🧾 Easily get your 𝐁𝐈𝐑 𝐏𝐞𝐫𝐦𝐢𝐭 𝐓𝐨 𝐔𝐬𝐞 (𝐏𝐓𝐔) and issue 𝐎𝐟𝐟𝐢𝐜𝐢𝐚𝐥 𝐑𝐞𝐜𝐞𝐢𝐩𝐭𝐬 to avoid getting any fines
🙌 Enjoy 𝟑𝟎+ 𝐟𝐞𝐚𝐭𝐮𝐫𝐞𝐬 to make your life easier

Book a FREE demo today to see how StoreHub POS can do all of that for you! 

Caption 2:
Getting super stressed managing your restaurant business? 😩

As a business owner, you should be focusing on expanding your business instead of doing day-to-day tasks manually. 🙅
So if you want to...
🍔 Automatically 𝐭𝐫𝐚𝐜𝐤 𝐚𝐧𝐝 𝐦𝐚𝐧𝐚𝐠𝐞 𝐲𝐨𝐮𝐫 𝐢𝐧𝐯𝐞𝐧𝐭𝐨𝐫𝐲 for multiple stores 
📍 Manage your business 𝐚𝐧𝐲𝐭𝐢𝐦𝐞, 𝐚𝐧𝐲𝐰𝐡𝐞𝐫𝐞 (no more being stuck in traffic 🚗)
💻 Access 𝐫𝐞𝐚𝐥-𝐭𝐢𝐦𝐞 𝐬𝐚𝐥𝐞𝐬 𝐫𝐞𝐩𝐨𝐫𝐭𝐬
🧾 Easily get your 𝐁𝐈𝐑 𝐏𝐞𝐫𝐦𝐢𝐭 𝐓𝐨 𝐔𝐬𝐞 (𝐏𝐓𝐔) and issue 𝐎𝐟𝐟𝐢𝐜𝐢𝐚𝐥 𝐑𝐞𝐜𝐞𝐢𝐩𝐭𝐬 to avoid getting any fines
🙌 Enjoy 𝟑𝟎+ 𝐟𝐞𝐚𝐭𝐮𝐫𝐞𝐬 to make your life easier

Book a FREE demo today to see how StoreHub POS can do all of that for you! ",Eddon Stress
16,"Are you still manually writing your BIR receipts by hand? ✍️
Imagine all the time, effort, and MONEY you can save if you didn’t have to.
Don’t worry! StoreHub’s all-in-one, BIR-accredited POS system can help make that happen. 💪 You can get BIR Official Receipts printed automatically so you can run your business while staying stress-free.
Wanna learn more? Sign up to book a FREE demo!",BIR Ad #2 Receipts
17,"Caption 1:
Say goodbye to unstable hardware and endless hours auditing your retail store inventory. 😎

With StoreHub, you have everything you need to run your stores from just 1 platform. And with real-time data, you can get visibility on your business performance from anywhere.

Book a free demo for your business today. ✨


Caption 2:
Manage sales, inventory, marketing - all in one place. 😎 With StoreHub, you have everything you need to run your retail store from just 1 platform. 

No more stress from sales and inventory discrepancies.

And with real-time data, you can get visibility on your business performance from anywhere.

Book a free demo for your business today. ✨


Caption 3:
📣 You might be losing profits from inaccurate inventory tracking! 📣

Writing receipts, sales reporting, counting inventory… do you still do these manually at your store and run into a ton of issues? 😵

Make your life as a business owner stress-free with StoreHub’s BIR Accredited POS. And watch your business grow! 💰

See the difference with a StoreHub POS. Sign up for a FREE demo today.

Caption 4:
📣 Is your current POS too slow and holding back your retail business? Does it take a long time to punch in each item at the cash register? 📣

Make your life as a business owner stress-free with StoreHub’s BIR Accredited POS. Track your sales and inventory in real-time, across multiple stores. 

And watch your business grow! 💰

See the difference with a StoreHub POS. Sign up for a FREE demo today.",Retail USP
18,"Caption 1:

Say goodbye to manually logging orders and inventory. 😎 With StoreHub, you have everything you need to run your coffee shop from just 1 platform. 

And with real-time data, you can get visibility on your business performance from anywhere.

Make your cafe business a success with StoreHub! 

Book a free demo for your business today. ✨

Caption 2:
Manage sales, inventory, marketing - all in one place. 😎 With StoreHub, you have everything you need to run your coffee shop from just 1 platform. 

No more stress from human errors and inaccurate records!

And with real-time data, you can get visibility on your business performance from anywhere.

Book a free demo for your business today. ✨

Caption 3:
📣 Want your customers to keep coming back to your cafe? We have the solution for you. 📣

Taking orders, writing receipts, counting inventory… do you still do these manually at your store and it just takes sooo long? 😵

Make your life as a business owner stress-free with StoreHub’s BIR Accredited POS.

You can now say goodbye to wrong orders, manual errors, and inaccurate sales and inventory reports. 💪

See the difference with a StoreHub POS. Sign up for a FREE demo today.",Cafe USP
19,"Caption 1:
If you want a POS System that has everything you need to manage your F&B business 🍗🍚, then choose StoreHub. 💪 

It’s easy to get started and easy to roll out too. We’ll help you all the way. ❤️

Sign up for a demo today to learn more about how StoreHub works!

Caption 2:
Take control of your F&B business' success with StoreHub. 🍗🍚📈 Have complete visibility of your sales and inventory with a super easy to use POS system.   💪

With the right foundations in place, you can watch your business grow! And we'll help you all the way. ❤️

Sign up for a demo today to learn more about how StoreHub works!


Caption 3
  Do you also want to expand your restaurant easily, manage operations efficiently, and have peace of mind? 💰📈 Then use StoreHub POS - the #1 BIR accredited POS System for F&B businesses

Sign up for a demo today to learn more about how StoreHub works!",Harry Uy Google Review
20,"Caption 1:
Takot ka na bang ma-disappoint ulit? With StoreHub POS, you don't have to worry. We're fast, responsive, and the best choice for your F&B business! 🥐☕

Pati training, BIR registration, and 7 day support, we can handle. 💪 

So what are you waiting for? Sign up na to get a free demo of our POS system.

Caption 2: 
Changing to a new system seems difficult, but with StoreHub POS, you don't have to worry. We're fast, responsive, and the best choice for your F&B business! 🥐☕

You'll have your POS up and running with a full backoffice system is just one week. 💪

Time is money, right? 💰 So don't wait - sign up to get a free demo of our POS system.

Caption 3:
StoreHub is more than just a POS system, you can think of us as a reliable business partner for your restaurant too. ❤️ 

We care about your success as a business, so that's why we're fast, responsive 7 days a week, and the trusted POS for F&B and retail. 😎

Making the switch to StoreHub is easy, just sign up to get a free demo of our POS system!

",Cat Go Google Review
21,"Caption 1: 
How does Happilee Korean Kitchen manage 9+ locations, each with hundreds of customers per day?  👀
 
The secret: They've used StoreHub POS from the beginning. 🤩

With StoreHub, you’ll have full visibility of sales and inventory in real-time from your commissary and at all your stores. You can manage all your operations end-to-end, without even being there. 💪
 
StoreHub is the POS that won’t slow you down.
 
So don't wait - book a demo with us to learn more! 

Caption 2: 
From home business to 9+ locations in just 3 years, Happilee Korean Kitchen has trusted StoreHub POS from the very beginning. 💕
 
Want to grow fast and expand efficiently just like them? 🤩

Then use StoreHub, the POS that won’t slow you down.

Explore our features by booking a free demo today! 
",Happilee Testimonial
22,"Caption 1:
Baka nalulugi na ang F&B business mo just because hindi accurate ang inventory mo. 👀 Just think about it, are you confident that all your sales and inventory are accounted for?  😥

Manage your business with a proper system like StoreHub's BIR Accredited POS and get peace of mind. ✨

Get accurate, real-time data for sales and inventory that you can check anywhere and anytime. 

Make the right decisions to grow your business with the help of StoreHub POS. 💰 

Book a free demo today!

Caption 2:
Are you confident in your F&B inventory tracking? 😥 You might be losing out on profits just because you can't keep track of all the items going in and out of your business. 👀

Manage your business with a proper system like StoreHub's BIR Accredited POS and get peace of mind. ✨

Get accurate, real-time data for sales and inventory that you can check anywhere and anytime.

Make the right decisions to grow your business with the help of StoreHub POS. 💰 

Book a free demo today!

Caption 3:
Are you confident in your retail inventory tracking? 😥 You might be losing out on profits just because you can't keep track of all the items going in and out of your business. 👀

Manage your business with a proper system like StoreHub's BIR Accredited POS and get peace of mind. ✨

Get accurate, real-time data for sales and inventory that you can check anywhere and anytime.

Make the right decisions to grow your business with the help of StoreHub POS. 💰 

Book a free demo today!",Inventory Losses
23,"Caption 1:
Don't you just hate it when your life has to stop because of your F&B or retail business? 😥

StoreHub's POS system takes away all the stress of manual work so you can achieve the work-life balance that you need! ✨🧘🏼‍♀️ 

Our all-in-one POS allows you to:
👉🏼 Manage your business 𝐚𝐧𝐲𝐭𝐢𝐦𝐞, 𝐚𝐧𝐲𝐰𝐡𝐞𝐫𝐞, with just your mobile phone 
👉🏼 Easily 𝐬𝐲𝐧𝐜 multiple devices and printers 𝐭𝐨 𝐲𝐨𝐮𝐫 𝐏𝐎𝐒
👉🏼 Access 𝐚𝐮𝐭𝐨𝐦𝐚𝐭𝐞𝐝 and 𝐫𝐞𝐚𝐥-𝐭𝐢𝐦𝐞 𝐬𝐚𝐥𝐞𝐬 𝐫𝐞𝐩𝐨𝐫𝐭𝐬
Andito kami so you can focus on the things that matter to you the most. 😉

P/S: We're BIR-accredited too! 🤫

Caption 2:
Being an F&B business owner doesn't mean you have to sacrifice all your free time. 😫

StoreHub's POS system takes away all the stress of manual work so you can achieve the work-life balance that you need! ✨🧘🏼‍♀️ 

Our all-in-one POS allows you to:
👉🏼 Manage your business 𝐚𝐧𝐲𝐭𝐢𝐦𝐞, 𝐚𝐧𝐲𝐰𝐡𝐞𝐫𝐞, with just your mobile phone 
👉🏼 Easily 𝐬𝐲𝐧𝐜 multiple devices and printers 𝐭𝐨 𝐲𝐨𝐮𝐫 𝐏𝐎𝐒
👉🏼 Access 𝐚𝐮𝐭𝐨𝐦𝐚𝐭𝐞𝐝 and 𝐫𝐞𝐚𝐥-𝐭𝐢𝐦𝐞 𝐬𝐚𝐥𝐞𝐬 𝐫𝐞𝐩𝐨𝐫𝐭𝐬

We're here so you can focus on the things that matter to you the most. 😉

P/S: We're BIR-accredited too! 🤫",Don't Switch to StoreHub
24,"Caption 1:
This National Heroes Day, Empower Your Sales Heroes! 🇵🇭

Every meal served, every transaction made, it's all thanks to our incredible food service workers.   With StoreHub POS, you can make their work experience even better.   

Get the #1 Cloud-based POS at an affordable price! StoreHub is the fastest and  most user-friendly on the market - your team will thank you :) 

Book a free demo today!

 *T&Cs Apply    

Caption 2: 
🇵🇭 A Salute to the Heroes Behind the Sales! 🇵🇭
On National Heroes Day, let's recognize the efforts of those who keep our F&B businesses thriving. With StoreHub POS, offer them a user-friendly experience for just ₱1800/month.
 Get the #1 Cloud-based POS at an affordable price! StoreHub is the fastest and  most user-friendly on the market - your team will thank you :)

Book a free demo today!
 *T&Cs Apply   


Caption 3:
🇵🇭 Magbigay pugay sa ating F&B heroes! 🇵🇭 
Sa bawat sale, may kasamang sipag at tiyaga ng ating food service workers.   Gawing mas madali ang work nila with StoreHub POS.   It’s the most user-friendly and the fastest on the market. We guarantee your team will love it :)

 *T&Cs Apply

2024 - National Heroes Day

Caption 1 - with promo:

Today, as we come together to celebrate #NationalHeroesDay, let's pay tribute to our courageous heroes who made the ultimate sacrifice for our freedom.

Let their selflessness inspire us to strive for greatness and remember that each of us has the power to make a meaningful difference in the world.

In the spirit of their unwavering service, we're proud to offer exclusive discounts on our POS systems to elevate your business and contribute to a positive impact like our heroes. Happy National Heroes Day! 🇵🇭""

 *T&Cs Apply


Caption 2 - w/o promo:

Today, we commemorate the courage, dedication, and sacrifices of our national heroes who fought for our freedom and future. Their legacy continues to inspire us as we honor their exemplary contributions to our nation. Happy National Heroes Day! 🇵🇭""
",National Heroes Day
25,"Caption 1:

Sigurado ka bang BIR accredited ang POS mo? 🤔 
If not, you might be dealing with manual errors and fines that can go up to ₱𝟓𝟎,𝟎𝟎𝟎!
Sayang din yun diba? 
You deserve to operate your business worry-free. StoreHub’s all-in-one, BIR-accredited POS can do all the hard work for you.
✅ Get your POS BIR registered with the help of our awesome Onboarding Team
🤝Automatically print BIR Official receipts
📈 Easily get accurate Z-Reading reports for your stores

Book a free demo of StoreHub POS today! 


Caption 2:

Are you sure your current POS or cash register is BIR compliant? 🤔 
If not, you might be dealing with manual errors and fines that can go up to ₱𝟓𝟎,𝟎𝟎𝟎!
Sayang din yun diba? 
You deserve to operate your business worry-free. StoreHub’s all-in-one, BIR-accredited POS can do all the hard work for you.
✅ Get your POS BIR registered with the help of our awesome Onboarding Team
🤝Automatically print BIR Official receipts
📈 Easily get accurate Z-Reading reports for your stores

Book a free demo of StoreHub POS today! ",BIR Penalties
26,"Caption 1: 
Gusto mo ba maging successful na restaurant owner din?   💪 

Then dapat meron kang operational system na you can trust, even when you're not always at your store. 🌍 

Just listen to these top F&B entrepreneurs to learn more about how StoreHub has helped them 💕
 
Inspired ka na? Book a free demo of StoreHub today.

Caption 2:
What’s the secret to having a successful restaurant? 🤔

It’s having a reliable system to manage everything for you, wherever you are.   🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕

Want to be like them? Book a free demo of StoreHub today.

Caption 3:
Ano ba ang secret ng mga successful restaurant businesses? 🤔

It’s having a reliable system to manage everything for you, wherever you are.   🌍

Just take it from these successful F&B entrepreneurs who trust StoreHub POS to grow their business! 💕

Want to be like them? Book a free demo of StoreHub today.",Merchant Testimonial Video
27,"Looking for the most reliable POS system in the Philippines? 🧐

With StoreHub, everything about running your business and keeping your customers happy is hassle-free. 😎

Sign up for a free demo of StoreHub POS today.👇",Commune Testimonial
28,"Headline and image caption should be: “Choosing A POS System for your F&B Business?”
[Add ""A""]

New Captions: 
1. Don’t buy a POS System before reading this! 👀👇

Click here to compare details like pricing, hardware, and software for StoreHub and other local brands.
 
 
2. How does StoreHub POS compare with other POS brands? 👀👇 Get the full details here so you can make the best decision. Compare pricing, hardware, software features, and more!

3. Want to choose the best POS System for your F&B business? 👀👇 Click to see how StoreHub compares to other brands. Get the full details like pricing, hardware, software features, and more!
",Utak Comparison
29,"Caption 1: StoreHub POS can power your restaurant and cafe business for just 63pesos/day. The Ultimate POS System, Simplified

Caption 2: Looking for the most reliable POS system in the Philippines? 🧐

With StoreHub, everything about running your business and keeping your customers happy is hassle-free. 😎

Sign up for a free demo of StoreHub POS today.👇


Caption 3: Bakit ka pa bibili ng ibang POS brand when StoreHub has it all? 🤔💰

Hindi lang siya POS. Pati sales, inventory, and marketing meron din. Parang secret weapon na ng business mo! 🔑💼

Sign up for a demo of StoreHub today and start leveling up your business! 👨‍💼📈



Caption 4: Say goodbye to frustration and say hello to MORE SALES. 💰💰

With StoreHub POS system and Back Office, lahat magagawa mo na. Sales, inventory, analytics, marketing - all in one place.

Sign up for a free demo of StoreHub today!",Google Reviews Compilation
30,"Caption 1:

Gusto mo bang maging successful na restaurant or bar owner? 💪 

Then dapat meron kang operational system na you can trust, even when you're not always at your store. 🌍 

And that's StoreHub's BIR Accredited POS. Manage sales, inventory, and more. Kahit multiple printers gamit mo, kaya 'yan.

Inspired ka na? Book a free demo of StoreHub today.

Caption 2: 
Do you manage a restaurant, bar, or cafe? Don't miss out on having the perfect operational system for your store/s. ✨

And that's StoreHub's BIR Accredited POS. 

Manage sales and inventory from any device, anywhere. 🌍 

Sync multiple printers and registers, and run seamless operations.

Make the best decision for your business. 💪 Book a free demo of StoreHub today. 

Caption 3:
What’s the secret to having a successful restaurant, bar or cafe business? 🤔

It’s having a reliable operational system to manage everything for you, wherever you are.   🌍

15,000+ businesses trust StoreHub to grow their sales and get peace of mind.

Want to be like them? Book a free demo of StoreHub today.",Michael Testimonial
31,"For Cafe:

Attention all cafe owners! 📣 

Are you tired of managing multiple systems and struggling to grow your business? Look no further than Storehub!

💡 Our all-in-one POS system comes packed with over 30 features and is trusted by over 15,000 businesses.

🤝 Take your business to the next level with Storehub. 💪

Sign up now for a free demo and see the difference for yourself! 🚀 

For Restaurants:
Attention all restaurant owners! 📣 

Are you tired of managing multiple systems and struggling to grow your business? Look no further than Storehub!

💡 Our all-in-one POS system comes packed with over 30 features and is trusted by over 15,000 businesses.

🤝 Take your business to the next level with Storehub. 💪

Sign up now for a free demo and see the difference for yourself! 🚀 

Additional copy for both:
The Preferred Choice of Metro Manila's restaurants, bars, and cafes - StoreHub POS System. 💪
Ang pinaka-recommended na POS for Metro Manila's restaurants, bars, and cafes - StoreHub POS System. 💪",POS 360 Testimonial
32,"Caption 1:
What's the secret to growing your F&B and retail business to 5+ stores, but without the stress? 🤔💰

It's StoreHub POS. With our system, you can monitor transactions easily, from anywhere on any device! 

You won't have to deal with manual sales and inventory auditing ever again. 

What are you waiting for? Sign up for a demo so you can get started on business growth today! 💪

Caption 2:
Bakit ka pa bibili ng ibang POS brand when StoreHub has it all? 🤩

Hindi lang siya POS. Pati sales, inventory, and marketing meron din. Parang secret weapon na ng business mo! 💰💰

Sign up for a demo of StoreHub today and start leveling up your business!",Grow from 1 to 5+ outlets
